Breed,Color,Sex,RaiserState,GoodAppetite,FoodType,ExerciseType,GeneralComments,dog_SubStatusCode
Labrador Retriever,Black,F,CT,Yes,iams naturalistic,"walking, playing with toys",I did my best but some i wasn't sure of.,0
Labrador Retriever,Yellow,F,OH,Yes,Hills Puppy Healthy Dev.,"walks, playing, exposures",Please send me an electronic copy of this evaluation.,0
Labrador Retriever,Yellow,M,MD,Yes,Wolf King,walks with some short jogging stints,,0
Labrador Retriever,Yellow,F,MD,Yes,Nutro Puppy,"walks, training, actively plays with other dogs outside at home, interacts with family members with ball or tug toy","Jess is a very adventurous and bold puppy.  She is smart and learns quickly.  However, she can also be stubborn and have her own agenda.  She needs high interest treats when working outside with distractions.  Her new habit (last five days) of barking has become problematic at work and in the house, so we need guidance on that.  Jess is very in tune to her people and loves to get praise and attention, sometimes that is more motivating to her than food.  She has lots of energy so finding appropriate ways for her to release that is a challenge.  Jess's personality and energy make her a great candidate for a guide dog, she just needs LOTS of practice and some maturing. ",0
Labrador Retriever,Yellow,F,MD,Yes,Iams,"walking on leash, running free in fenced back yard, indoor play with balls and tug toys",Haven't had any home switches yet.,0
Labrador Retriever,Black,F,MD,,IAMs puppy,"group play, walks","no difficulties, just too cute and personable",0
Labrador Retriever,Yellow,F,NH,Yes,Precise,"walks, playtime in fenced yard","Heart is a sweet girl.  She is an eager learner, willing to please.  ",0
Labrador Retriever,Yellow,F,NH,Yes,NutriSource,"Walking, playing, training",,0
Labrador Retriever,Yellow,F,NY,Yes,Hills,playing with toys & other dog in household; short walks,"Gala has a gentle temperament. She is not overly bold, but is very confident once she's found her center and calms herself quickly when encountering new experiences. She's so food motivated that it sometimes gets her too activated for training. When food is too much of a distraction she's done very well with verbal praise, physical contact and my body language as alternative rewards. She has not understood gentle corrections to things like putting her feet on my lap. I'm working on making a bigger show of being upset with her. She bonded with me very quickly and checks-in frequently in all environments. Gala's a charmer!",0
Labrador Retriever,Yellow,F,NY,Yes,Healthy puppy science diet,Walking and playing in yard,"Gammie is a great temperament, extremely cuddly pup. She takes a while to get things and has trouble getting out of the red zone especially on walks in busy areas. She is becoming a great addition to our family and loves to be around the children",0
Labrador Retriever,Black,F,MA,Yes,Ian's smart puppy,"Walking, tugging, other dogs",She is a joy.,0
Labrador Retriever,Black,F,CT,Yes,Science Diet Puppy,Walking and playing with other dog in home,"I think Dana is overall a well behaved puppy.  She is very sweet and listens well.  She picks up new commands quickly. She enjoys going for walks and we have taken her to different locations and she is always a star.  She does not seem to be bothered by any noises and adapts well to new places, always curious.",0
German Shepherd,Black/tan,M,VA,Yes,Purina ONE Chicken & Rice,walks; play in fenced yard,"Chase has been here a few weeks- and is settling in nicely. Adapting to our routine and is pleasant company. Noted some mild body sensitivity to wearing things and some ducking to get dressed; Also note some ""tail chasing"" when free in house as well as in crate- at this point still easy to re-direct. Very enjoyable pup all around...",0
German Shepherd,Black/tan,F,NY,Yes,Science Diet Puppy Chow,"Walking, Running in yard","Comet has spent several evenings out with the Henson family, socializing at the mall or grocery store. She is also handled by other raisers when I have my 2nd dog Harris with me at class. She was with someone else at our Halloween party and the last 2 PK's.",0
German Shepherd,Black/tan,M,MD,Yes,Purina/Kirkland -transitioning,"plays in the yard with other dog, plays with toys,plays appropriately in the house with other dog and walks","Car- he is no longer getting sick in the car and seems fine but he has just in the last 2 days not wanted to get into the car. He is now refusing to come close to the car and is backing away.Bandana- doesn't like it. Is getting better with it and is more tolerant if it is rolled up more but still isn't a fan. Seems quite sensitive.Tongue  flicking- he is doing quite a bit of this just walking around the streets. Both in my quiet neighborhood and in Ballston but not in places that I would expect him to do it like in the mall or in my office building.Puddles- he does not like them. Not an issue as we are working through it, I just found it funny. He may eat like a lab and be food motivated like a lab, but he doesn't like the water!",0
Labrador Retriever,Black,F,NY,Yes,Science Diet Large Breed,Walking/ running,,0
Labrador Retriever,Black,F,NY,Yes,Science Diet,"Walks, plays ball,frisbee, plays with neighbor dog",,0
Labrador Retriever,Black,F,NY,Yes,Science Diet,"Walks, plays ball,frisbee, plays with neighbor dog",,0
Labrador Retriever,Black,F,NY,Yes,Science Diet Large Breed Puppy,"Walks, playing in yard, at work, socializing","What a SWEET puppy! Bristol is soft and sweet but seems to be nicely confident. She occasionally needs some time to warm up in a new, busy environment, but even then she doesn't seem particularly worried - just evaluating the situation. I have seen no worry with noises or traffic. She is incredibly low key for her age and a complete pleasure to live with! She goes to work with me every day and is excellent in my office. Loves everyone she meets and we love her to pieces!",0
Labrador Retriever,Black/tan,M,NY,Yes,Iams Puppy Food,"Walking, fetch with toys and occasional play dates with other GEB dogs","Bruno has picked up on a lot fairly well so far and is very willing to work for praise, play and food rewards.  He is able to do all the skills but with short duration.  Has to work more on out, settling, stay and playing appropriately with other dogs as well as anything new. He is riding in the crate and on the floor of the passenger seat in the car when tired enough to hold the down and fall asleep.  He seems confident on underfootings I have exposed him to already.He does have some separation issues when he is with someone else and he can see/hear me away from him.",0
Labrador Retriever,Yellow,M,CT,Yes,Science diet healthy development,We go to the dog park with Otto.,Anders is a sweet pup and is interested in new things.  He does well with walking and working on skills when he has excersized well in the day.,0
Labrador Retriever,Yellow,M,NY,Yes,Iams Vet formula,Walking,Very chill puppy- easiest one I ever raised (sorry Yacht- RIP),0
Labrador Retriever,Yellow,F,CT,Yes,low residue,"walks on leash, free play with my other dogs inside and outside in fence in yard",,0
Labrador Retriever,Yellow,F,OH,Yes,Low Res,"Walking, playing in yard, some fetch","Annalee is a sweet, smart pup - a bit sassy as well. Thank you for the opportunity.",0
Labrador Retriever,Yellow,F,OH,Yes,Low Res,"Walking, playing in yard, some fetch","Annalee is a sweet, smart pup - a bit sassy as well. Thank you for the opportunity.",0
Labrador Retriever,Yellow,F,NY,Yes,Iams puppy,"walks, outdoor play, some indoor play",,0
Labrador Retriever,Yellow,F,MD,Yes,Fromm,"Walks, dog play",Tends to scavenge inside and outside. Difficult to walk her without having constantly get her to drop the mulch or tree berries.,0
Labrador Retriever,Black,M,NY,Yes,Iams Lamb and Rice,"walks, playing",,0
Labrador Retriever,Black,F,VA,Yes,Iams,"walks, play","Yvetta has been a lot of fun and a joy to raise so far.  She is definitely a bit of a build up pup, and shows the most stress when we go to a new place without a lot of time to adjust, but adjusts fairly quickly.  Still learning appropriate and effective ways to release that stress, but is beginning to do some body shakes instead of biting and getting activated.  She loves doing new things though and when eased in works very nicely and is eager to please.  She has a very pleasant energy level is appropriate in most situations. Can't wait for the rest of our adventures.",0
Labrador Retriever,Black,F,VA,Yes,IAMS puppy chow,"running & play in backyard, outings, neighborhood walks","Willa is a delightful charming and loving pup! She enjoys her chew toys, rope and balls very much, and does not have a ""wild child"" streak getting into things at home so far. I am happy to say she does not seem to have a strong sniffy or curious nature. Willa is smart and eager to learn and to please you.",0
Labrador Retriever,Black,M,NY,Yes,Hills Large Breed Puppy,"fetch, walks","Wyatt needs to be scheduled for a home switch soon. He does pretty well with commands, but can easily excited.",0
Labrador Retriever,Black,M,OH,Yes,Hills Science Diet Healthy Puppy,walking;outings;fetch;tug,,0
Labrador Retriever,Black,M,OH,Yes,Hills Science Diet Healthy Puppy,walking;outings;fetch;tug,,0
Labrador Retriever,Black,F,OH,Yes,Science Diet,"walks, playing",,0
Labrador Retriever,Black,F,OH,Yes,Science Diet,"walks, playing",,0
Labrador Retriever,Yellow,F,VA,Yes,Science Diet Puppy Large Breed,"walks, play with toys","for such a tiny puppy she is very well behaved, we have had her for a short time now but she is building her confidence every day.",0
Labrador Retriever,Black,M,VA,Yes,Science diet,Walks/plays with other dogs,Still having problems with him urinating in the house and doing it frequently and within minutes of him being outside and getting busy.,0
Labrador Retriever,Black,M,VA,Yes,Science diet,Walks/plays with other dogs,Still having problems with him urinating in the house and doing it frequently and within minutes of him being outside and getting busy.,0
Labrador Retriever,Black,M,VA,Yes,Science diet,Walks/plays with other dogs,Still having problems with him urinating in the house and doing it frequently and within minutes of him being outside and getting busy.,0
Labrador Retriever,Black,F,NY,Yes,Hill's Science Diet,"Walks, Limited Ball, Plays with toys",Vivi had an unusual set of issues (from our experience as socializers).  She didn't sit for meals and was willing to wet right next to her bowl and in her crate. Vivi is working on catching up.  She has a wonderful attitude and temperament and is a pleasure to work with.  Vivi walks beautifully in town on sidewalks and on the street.  Vivi will play with toys for half of an hour at a time.  Vivi settles quietly while I work.,0
Labrador Retriever,Yellow,M,CT,Yes,Iams,"fetch, walking, playing with dogs","Challenges: small children and other dogs. Needs work greeting other dogs, not aggressive, but tries to play/chase them and comes on very strong. Does well in stores, responsive to raiser in most social situations.",0
Labrador Retriever,Black,F,RI,Yes,Wellness large breed puppy,About 3-4 miles per day,Vera has really been a sweet puppy so far!! I hope she stays as calm and easy going as she gets her big girl teeth and figures out the allure of furniture and counters...,0
Labrador Retriever,Yellow,M,OH,Yes,Iams Smart Puppy Large Breed,"Walking, fetching","Valco is a sweet laid back puppy.  Easy to work with, responds well to commands and wants to please.",0
Labrador Retriever,Yellow,M,OH,Yes,Iams Smart Puppy Large Breed,"Walking, fetching","Valco is a sweet laid back puppy.  Easy to work with, responds well to commands and wants to please.",0
Labrador Retriever,Yellow,F,MD,Yes,Iams Lamb and Rice,"2-3 short-medium walks, 2-3 plays with another pet dog","She enjoys living with us and our pet dog.  She is great to have and settles very well to allow daily tasks like laundry, cooking, computer-use TV, etc.  Have taken her to a few outdoor locations and she handled those well.  She has visited several other homes with different distractions and was well-behaved.",0
Labrador Retriever,Yellow,F,MD,Yes,Iams Lamb and Rice,"2-3 short-medium walks, 2-3 plays with another pet dog","She enjoys living with us and our pet dog.  She is great to have and settles very well to allow daily tasks like laundry, cooking, computer-use TV, etc.  Have taken her to a few outdoor locations and she handled those well.  She has visited several other homes with different distractions and was well-behaved.",0
Labrador Retriever,Yellow,F,MD,Yes,Iams Lamb and Rice,"2-3 short-medium walks, 2-3 plays with another pet dog","She enjoys living with us and our pet dog.  She is great to have and settles very well to allow daily tasks like laundry, cooking, computer-use TV, etc.  Have taken her to a few outdoor locations and she handled those well.  She has visited several other homes with different distractions and was well-behaved.",0
Labrador Retriever,Black,F,MD,Yes,Science Diet,"walks, runs, playtime",,0
Labrador Retriever,Black,M,MD,Yes,Science Plan,"Walks, play, training",,0
Labrador Retriever,Yellow,M,NY,Yes,Nutro puppy food,"walks, runs with other pups in fenced area, self-initiated ball play or running on long line","For a 3 month old pup he is doing very well.  He is quick to learn new skills and wants to please. He was easily housebroken, sleeps 8-9 hours a night, and never barks when in his crate.  He is learning the ""rules"" and rarely repeats an inappropriate behavior once corrected.Since completing his scheduled vaccines he has been in awe of a whole new world to explore and has tackled blowing leaves, cars, stairs, other dogs, different surfaces, sewer grates, and new buildings without any problems.",0
Labrador Retriever,Yellow,F,VA,Yes,Taste of the Wild; Honest Kitchen,Fetch; walks & brief runs around the block; playtime with our family dog,"My only concern is that with the NBC thing, she hasn't been able to go on any puppy sits.  It's come up a few times now that she doesn't listen to other people very well if they're in charge of her––not that she's intentionally blowing them off.  It seems more like she doesn't know that she's supposed to obey them.  I'm glad she's so connected with me, but I'm worried it could become a problem if she doesn't get exposed to other people handling her.",0
