dog_SubStatusCode,Age,Health,StoolFirm,EnergyLevel,EliminationInCrate,QuietInCrate,RespondsToCommandKennel,BarksExcessively,RaidsGarbage,CounterSurfingJumpOnDoors,JumpOnPeople,GoodWStrangers,WalksWellOnLeash,TrafficFear,NoiseFear,SitsOnCommand,StaysOnCommand,BehavesWellClass,BehavesWellClass.1,EarCleaning,NailCutting,Breed,Color,Sex,RaiserState,GoodAppetite,FoodType,ExerciseType,DayInLife
0,1,3,4,4,5,4,3,4,5,4,3,4,2,3,4,5,5,3,3,3,3,Labrador Retriever,Black,F,CT,Yes,iams naturalistic,"walking, playing with toys","I work from home 5 days a week and don't have to travel for work too often. This will give me the ability to let the pup out when needed, integrate training throughout the day, and make myself the reward. I also have flexibility to start work between 7 and 9 and end between 3:30 and 5. This gives me more flexibility to do walks or socialization in the AM or PM depending on weather and how much light is in the sky. We don't have children so the pup will be the main target of our love and direction and we will be able to bring him/ her to socialize in a variety of situations and will be able to focus on the pup to integrate training throughout the day. We own our home and have a grassy front and back yard as well as a patio and plenty of places to walk the pup. Weekend schedule is pretty flexible and we don't really have a set schedule for the weekend."
0,1,3,4,4,5,4,3,4,5,4,3,4,2,3,4,5,5,3,3,3,3,Labrador Retriever,Black,F,CT,Yes,iams naturalistic,"walking, playing with toys","I work four days a week 12 hour days. I have free weekends and one day each week. I will be able to walk the pup in the mornings, help bring it out to eliminate in the mornings, and evenings and help socialize, and reward it with me while I am home."
0,1,5,5,5,5,5,4,3,5,3,4,5,3,4,4,5,3,5,5,5,5,Labrador Retriever,Yellow,M,MD,Yes,Wolf King,walks with some short jogging stints,"I live with my husband in a small brick house with a fully-fenced back yard, across from a park, in an urban neighborhood. I get up very early each week day morning to participate in an exercise class, so I would let the pup out in the yard to ""get busy"" and play for a bit before my class (about 5:30 AM), and then again when I get home (7 AM) for play, breakfast, a walk, ""get busy"", some training during those activities, etc. My work day is flexible - on days where I must be in the office all day my neighbor has agreed to help with letting the puppy outdoors and having play/exercise time. My neighbor also has a fully fenced yard and no other pets. I work from home 2 days/week, and on the weekends I am around the home, doing errands, visiting with friends, taking walks and long hikes, etc. I lead a very active and outdoors lifestyle, and usually meet with friends for some outdoor hikes. In the summer I like to stand up paddle board on the river, and my last dog (a family pet) had his own life jacket and used to love to sit on the paddle board or swim alongside (on a leash) with me. I also go jogging most mornings, and when the pup is older and strong enough I know s/he would love to keep me company for a few miles around the neighborhood each morning.   I have always had a pet dog, and have always raised them from a puppy. Now, my last dog is in heaven and my home has no pets. All my dogs were very well trained, but I am excited about learning the Guiding Eyes training methods. My dogs have always had active, rich, and fun social lives, with lots of outdoor activities. I look forward to sharing that fun with a Guiding Eyes pup."
0,1,5,5,5,5,5,4,3,3,1,3,5,3,4,5,3,1,3,3,5,1,Labrador Retriever,Yellow,F,MD,Yes,Iams,"walking on leash, running free in fenced back yard, indoor play with balls and tug toys","I am currently working from home.  I have started a florist business.  I am taking this opportunity to be a puppy raiser.  Previously, I was away from home for 9 hours each day.  My 17 year old daughter stays at home with me.  She has had brain tumors and has some special needs.  We will be co- raising the puppy.  My son is almost 15, he attends school each day.  He is not sold on having a puppy.  He has not had good dog experiences.  I would not be surprised if he falls in love with the puppy.  My fianc̩ lives in Fenwick Island, Delaware.  He is also not sold on having a puppy, cramping his style.  We go to his home most weekends.  He is in our home most of the time also.  We are getting married in January.  We will probably need a puppy sitter.  We haven't made any wedding plans, yet.  I know this is not going to be easy.  I just feel called to do this.  At least just once.    "
0,1,5,4,5,3,4,4,4,5,5,5,5,5,5,5,5,3,4,4,4,3,Labrador Retriever,Black,F,MA,Yes,Ian's smart puppy,"Walking, tugging, other dogs","I live in a suburban neighborhood, walking distance to Northampton Center. I have a private but not fenced back yard. I have an eight year old beagle mix. I live with my husband, who works full time and frequently travels, and two teenaged sons. I am home most days until January and then I work part time as a ski instructor, on the days that I will be out of the house for more than four hours I will have a schedule for one of my sons or a dog walker to take the puppy out for play and food and potty.  I may be able to take the dog to work with me and have her stay in the teachers lounge while I am out skiing. I typically teach for an hour or two and then have an hour break and then teach for another hour or two and so on so that I can spend time in between lessons walking her around the resort, and getting her used to lots of people. I will have to work that out with my employer. That part time job lasts typically until the end of February. When I will be home full time again. I am a runner, hiker and backwoods skier, and plan to have the dog accompany me as soon as she is old enough. My car is large enough to hold a crate, and my other dog frequently rides with me while I am out doing errands, but more often I walk to town for shopping and dining and entertainment. I look forward to having the puppy accompany me there. "
0,1,4,5,5,5,2,4,3,5,5,2,4,4,4,5,5,3,4,4,2,3,Labrador Retriever,Black,F,CT,Yes,Science Diet Puppy,Walking and playing with other dog in home,"Participants-Bruce, Maggie (our 7 yr old golden retriever), and Linda    Monday-Friday  5am-Bruce wakes to go to work and showers  5:30am Bruce proceeds downstairs and feeds Maggie  6am Linda wakes and Bruce leaves for work  Linda has tea and reads paper  6:30am Linda showers and dresses  7am Linda leaves to go to the mall to walk  8am Linda goes to the gym  8:45am Linda returns home  8:45-9:30 various chores, lets Maggie outside  9:30am Bruce returns home  depending on the day, activities, weather we usually take a walk together sometime before noon  12:30-1:30 watch Young and the Restless  1pm Bruce goes back to work  1:30-3:30 various chores, computer, depending on what needs to be done  3:30-4:30 prepare supper for Maggie and then for Linda and Bruce  4:45pm Bruce returns home  Evening may involve meetings, bowling for Bruce, shopping, church activities, friends or family  also usually some TV time.    Weekends- Saturday Bruce golfs in the morning, afternoon is usually spent together, maybe taking a ride or a walk.  Sunday, church from 10-11 with possible meeting after.  Then time again together  depending on what is going on.    We are both fairly active despite arthritic knees that act up here and there.  We live in a Cape, 2 stories on a quiet street.  We have a fenced in back yard that is also quiet and backs up to woods. Linda is retired and Bruce is retired but drives a school bus (hence the comings and goings during the day).  Maggie is a beautiful, loving dog who is looking forward to having a little sister!"
0,1,4,4,5,5,4,5,4,4,4,5,5,5,5,5,5,4,4,4,3,3,Labrador Retriever,Yellow,M,CT,Yes,Science diet healthy development,We go to the dog park with Otto.,"Tim and I are retired.  Tim is a early riser which has always worked for morning routine when we had our dog.  I stay up later at night so I would do the evening routine.  We work together and if situation changes we are flexible.  In the morning we have breakfast check emails etc.  Tim does some consulting and will work a few ours from home some days.  We walk the ""Green"" in Southbury and around the stores there and will go to museums in Connecticut.  I also belong to a book club and a women's club.     Our children and my sister in law  live in New York City in apartment buildings and we go down to visit them on occasion.  My older daughter has a one year old boxer that they are training.    We are looking forward to training the guide pup and making him a part of our family while we have him."
0,1,3,3,5,5,5,5,4,5,5,4,5,5,4,4,5,2,5,5,5,5,Labrador Retriever,Yellow,F,CT,Yes,low residue,"walks on leash, free play with my other dogs inside and outside in fence in yard","I am newly retired.  I live in a single family house in Oxford, CT.  The only other one in my household is my son, who is 29, and lives downstairs.  He understands that in order to be fair to the puppy and not confuse him/her,  he needs to follow the Guiding Eyes rules.( He loves dogs and will spoil them if allowed)  :)     We have two other dogs in the house - my son's dog - Dixie - a 10 yr. old blue tick coon hound spayed female and a 1 1/2 yr old Chihuahua/Papillion (?) mix - Peanut - also a spayed female.  Peanut is just graduating from a pet therapy program and I will be doing some hospital and nursing home visits with her.  I also have two horses on my property.   My backyard is fenced in with stockade fencing so the dogs can't get out but I am use to watching them while they are out playing.      My schedule is very flexible.  I like to walk and keep active.  I have had many dogs over my lifetime.  I use to foster dogs, take them to obedience classes and then find them very suitable homes.  I have done a lot of dog sports over the years - agility, fly ball, frisbee, sheep herding and showing dogs in both breed and obedience.      I am open to any puppy.  I have had mostly females in the past but I have had 2 males.  I don't know of any intact females or males in my neighborhood but you don't always know that until you have a dog come into heat :)     I am very excited to raise a puppy for the Guiding Eyes.  "
0,1,5,4,4,5,4,3,3,5,5,3,5,4,5,5,4,4,3,3,5,4,Labrador Retriever,Yellow,M,CT,Yes,Iams,"fetch, walking, playing with dogs","Up at 6:30am  M-F, kids (age 15 and 17) at school and practice until 5.  At work for 9 am M-F and alternate Sat but husband and I have opposite schedules so my heavy days are his light days and vice versa.  For example, Mondays and Tuesdays I am on house calls only or ""back up"" for high case load so can come and go as I please.  My husband has this luxury on Wed/Thurs and we are both on ""back up only"" Friday after 12 pm.  Home by 5 or earlier on light days, 7 pm on Thursdays only for me, Tuesdays only for Lawrence. Dog, after 12 weeks of age, could conceivably come to work but we are also only 2 miles from home and easily can return every 3 hours or more frequently.  Saturday afternoons and Sundays free time. Do frequently return to hospital on weekends for various business and medical needs as well as grounds keeping since we are owners of practice. Daughter is driving and capable of coming to classes when I am working.  She also will be primarily responsible for watching, training in the evenings and on weekends.  We have 2 other pets- a cat that is well accustomed to dogs and a chinchilla that is in a large cage 24/7.  We have a fenced yard (1/3 acre) and live within walking distance to downtown Mystic. We rarely travel (other than locally) due to the demands of our practice."
0,1,4,5,4,5,4,2,5,4,5,2,5,3,4,4,4,4,2,2,5,3,Labrador Retriever,Black,M,VA,Yes,Iams,"Lots of Fetch, Playing with other dogs, walks","It has been about a year since I had the good fortune to retire from sales.  My husband Fred just retired a few months ago.    We both have many interests.  Fred likes sailing, flying, biking, running and hiking.   I really love having the time to garden, feed the birds, read ,(  to keep up with two book groups), learn new music for chorus (except in the summer),and take care of Lee Loo the cat.  I also enjoy baking, and even make my own dog treats.  But, not lately, since Jayk our golden passed about a year ago.    We spend time corresponding with our four adult children who live in Boston, Chicago , England and Annapolis. Have been busy  decluttering and puppy proofing our home.  Looking forward to a furry walking companion and getting to know and enjoy all the bay region pups in our class ."
