dog_DogID,dog_Tattoo,dog_CallName,dog_LitterID,dog_BreederID,dog_DOB,dog_Sex,dog_StatusChangeDate,dog_SubStatusCode,dbc_DogBreedDescription,Dog_EndReasonText,dbcc_ColorDescription,ogr_RelationID,ogr_PersonID,ogr_DateStart,ogr_DateEnd,ogr_DateRefused,Relationship_Description
20500,5S315,Sparky,S315,7105,10/29/15,M,10/29/15,1,Labrador Retriever,No_END,Black,52210,22749,12/30/15,,,Puppy Raiser/primary
20496,1S315,Spirit,S315,7105,10/29/15,F,10/29/15,1,Labrador Retriever,No_END,Yellow,52212,4909,12/30/15,,,Adopter of dog
20506,6T315,Topher,T315,7105,11/6/15,M,11/6/15,1,German Shepherd,No_END,Black/tan,52223,14273,12/31/15,,,Adopter of dog
20494,9R315,Raj,R315,7105,10/22/15,M,12/17/15,2,Labrador Retriever,No_END,Yellow,52203,20181,12/27/15,,,Puppy Raiser/primary
20490,5R315,Rhyme,R315,7105,10/22/15,F,12/18/15,2,Labrador Retriever,No_END,Yellow,52213,4909,12/30/15,,,Adopter of dog
20491,6R315,Regal,R315,7105,10/22/15,F,12/18/15,3,Labrador Retriever,No_END,Black,52192,18842,12/20/15,,,Puppy Raiser/primary
20455,2M315,Maggie,M315,7105,10/7/15,F,11/30/15,3,Labrador Retriever,No_END,Black,52193,20106,12/19/15,,,Puppy Raiser/primary
20480,4P315,Peace,P315,7105,10/21/15,F,12/17/15,3,Labrador Retriever,No_END,Yellow,52179,26252,12/19/15,,,Puppy Raiser/primary
20488,3R315,Riley,R315,7105,10/22/15,F,12/17/15,3,Labrador Retriever,No_END,Yellow,52191,21435,12/20/15,,,Puppy Raiser/primary
18413,6K313,Kenner,K313,7105,8/16/13,M,12/16/14,17,Labrador Retriever,No_END,Black,47324,17477,11/23/13,7/18/14,,Puppy Raiser/primary
18558,8T313,Treasure,T313,7105,9/13/13,F,1/14/16,17,Labrador Retriever,No_END,Yellow,47326,26260,11/23/13,2/24/15,,Puppy Raiser/primary
18519,4P313,Peru,P313,7105,9/7/13,M,2/24/15,17,Labrador Retriever,No_END,Black,47328,26261,11/23/13,2/12/14,,Puppy Raiser/primary
18413,6K313,Kenner,K313,7105,8/16/13,M,12/16/14,17,Labrador Retriever,No_END,Black,47329,17582,11/23/13,,,Veterinary sponsor for pups
18611,8A413,Angelo,A413,7105,9/20/13,M,2/25/15,17,Labrador Retriever,No_END,Yellow,47345,19428,12/1/13,2/24/15,,Puppy Raiser/primary
18058,7SS13,Sammi,SS13,7105,6/24/13,F,11/11/14,17,Labrador Retriever,No_END,Black,46796,4517,8/27/13,11/11/14,,Puppy Raiser/primary
18755,10H413,Hayes,H413,7105,11/3/13,M,10/19/15,17,Labrador Retriever,No_END,Yellow,47609,22604,1/1/14,3/24/15,10/5/15,Puppy Raiser/primary
17330,7T312,Travis,T312,7105,8/15/12,M,2/18/14,17,Labrador Retriever,No_END,Black,44963,25199,10/27/12,2/18/14,,Puppy Raiser/primary
17383,2D412,Daria,D412,7105,9/18/12,F,2/18/14,17,Labrador Retriever,No_END,Black,45156,17463,12/7/12,2/18/14,,Puppy Raiser/primary
19003,1J14,Judith,J14,7105,2/21/14,F,7/21/15,17,Labrador Retriever,No_END,Black,48263,10160,4/25/14,7/21/15,,Puppy Raiser/primary
18824,6M413,Mickey,M413,7105,11/20/13,M,5/7/15,17,Labrador Retriever,No_END,Yellow,48271,7387,2/6/14,,,Veterinary sponsor for pups
19028,5K14,Kit,K14,7105,3/1/14,F,9/29/15,17,Labrador Retriever,No_END,Yellow,48291,22618,4/29/14,8/18/15,,Puppy Raiser/primary
19032,9K14,Kendalee,K14,7105,3/1/14,F,9/23/15,17,Labrador Retriever,No_END,Yellow,48292,23699,4/29/14,1/3/15,,Puppy Raiser/primary
19024,1K14,Kelley,K14,7105,3/1/14,F,9/2/15,17,Labrador Retriever,No_END,Yellow,48299,26665,4/29/14,8/18/15,,Puppy Raiser/primary
18906,3D14,David,D14,7105,1/19/14,M,4/28/15,17,Labrador Retriever,No_END,Black,48305,17340,4/29/14,4/28/15,,Puppy Raiser/primary
17639,5F13,Filene,F13,7105,1/23/13,F,5/20/14,17,Labrador Retriever,No_END,Black,45857,24538,4/7/13,5/20/14,,Puppy Raiser/primary
17778,7L13,Lia,L13,7105,2/18/13,F,1/8/16,17,Labrador Retriever,No_END,Black,45960,25539,4/18/13,8/12/14,,Puppy Raiser/primary
17998,2JJ13,Jockey,JJ13,7105,5/30/13,M,4/17/15,17,Labrador Retriever,No_END,Black,47181,24504,10/28/13,,,Secondary Raiser
18862,1S413,Secret,S413,7105,12/24/13,F,5/19/15,17,Labrador Retriever,No_END,Yellow,47897,17611,3/4/14,5/19/15,,Puppy Raiser/primary
19318,10KK14,Kennedy,KK14,7105,6/13/14,M,10/14/15,17,Labrador Retriever,No_END,Yellow,48936,14429,8/16/14,10/13/15,,Puppy Raiser/primary
19290,8GG14,Gino,GG14,7105,6/3/14,M,9/15/15,17,Labrador Retriever,No_END,Black,48937,25109,8/16/14,9/15/15,,Puppy Raiser/primary
19301,2II14,Iowa,II14,7105,6/6/14,M,9/15/15,17,Labrador Retriever,No_END,Yellow,48938,21642,8/16/14,9/15/15,,Puppy Raiser/primary
