RecordID,Relationship,PersonID,RelatedID,Region,dog_Tattoo,dog_CallName,dog_DogID,StartDate,DayInLife
31,Primary,28398,0,Montgomery,10WW15,Woodstock,20276,11/15/15,"We usually wake up at 6:30. Between then and 8:30, three kids have to leave the house to go to school. However, I have some free time between one kid and the next one.  At 8:30, we walk to the elementary school (15 minutes). After that, I usually take a couple of hours for reading (at a library) and walking on the Crescent Trail (a puppy can be with me for both activities).   I usually have errands to do in the morning, but I have agreed with rest of the family that I will do most of my activities in the afternoon, so that I can spend more time at home until everybody is back from school.   At 3:00 I leave house to go and pick up the youngest at school. The afternoon is a mix of activities and homework. As we are 5 in the house, we can take turns and make sure someone is always at home with the puppy.  I work once a week in a museum. I need to plan so that the puppy is not home alone for too long. I could go to the museum later in the day, so someone else can be home on time.   Weekends are less predictable, but as we are many, it shouldn't be a problem to arrange our schedule around the puppy's needs, at the beginning. When he grows, he will be able to come with us to most activities (soccer games, regattas)   "
43,Primary,28397,0,Montgomery,2E315,Euro,20338,11/02/15,"Weekdays:   -Wake up 6 AM, go for a run/rollerblade  -Shower  -Work 9am- 6pm (puppy will accompany me to work and ideally will be able to hold himself between bathroom breaks for 3-4 hours)  -Come home from work, go to dinner/hang out with friendsd/study for an exam    Weekends: FLEXIBLE  -Travel (by car) to NJ, NYC, or another city to visit friends  -Stay in DV    I live in a rowhouse on the bottom floor (small set of stairs to get into the apartment). I have no exerccise restraints. I am planning to have the dog accompany me almost everywhere, so ideally a dog that is easygoing and friendly (which all the dogs are). I also babysit for multiple families in Annapolis that have children ages 2-10, and older dogs/cats so I need a dog that is ok around kids and other animals.  "
41,Primary,28396,0,Capital,5J315,Junior,20423,11/03/15,"I live with my husband in a small brick house with a fully-fenced back yard, across from a park, in an urban neighborhood. I get up very early each week day morning to participate in an exercise class, so I would let the pup out in the yard to ""get busy"" and play for a bit before my class (about 5:30 AM), and then again when I get home (7 AM) for play, breakfast, a walk, ""get busy"", some training during those activities, etc. My work day is flexible - on days where I must be in the office all day my neighbor has agreed to help with letting the puppy outdoors and having play/exercise time. My neighbor also has a fully fenced yard and no other pets. I work from home 2 days/week, and on the weekends I am around the home, doing errands, visiting with friends, taking walks and long hikes, etc. I lead a very active and outdoors lifestyle, and usually meet with friends for some outdoor hikes. In the summer I like to stand up paddle board on the river, and my last dog (a family pet) had his own life jacket and used to love to sit on the paddle board or swim alongside (on a leash) with me. I also go jogging most mornings, and when the pup is older and strong enough I know s/he would love to keep me company for a few miles around the neighborhood each morning.   I have always had a pet dog, and have always raised them from a puppy. Now, my last dog is in heaven and my home has no pets. All my dogs were very well trained, but I am excited about learning the Guiding Eyes training methods. My dogs have always had active, rich, and fun social lives, with lots of outdoor activities. I look forward to sharing that fun with a Guiding Eyes pup."
18,Primary,28327,0,Delaware,5M315,Max,20458,11/16/15,"We live in a small, two story house in the small village of Sherwood, MD.  The road into the village has no outlet, so car traffic is light.  All dogs in the neighborhood are in a fenced yard or on a leash when out.  The neighbors are friendly and are often outside to walk and chat.    All members of our family are fit and healthy.  Our two oldest children, 11 & 7, are homeschooled.  They will be home with their mother all day for most days.  I have my own design business.  I have a small office in Easton, MD.  I take my 5 year old son to school in Easton 4 days a week on my way to work.  We are back at home by 3:00 on most days.  On Fridays I typically work from home.  If my homeschoolers happen to go on a fieldtrip, I will take the puppy with me to work.    Bottom line . . . the puppy will be with family members nearly all day everyday.    Weekends could include any of the following:  being outside at home, sports events, church, town festivals, shopping, focusing on training a new puppy, etc."
17,Primary,28326,0,Delmarva,2J315,Jenny,20420,11/18/15,"I am currently working from home.  I have started a florist business.  I am taking this opportunity to be a puppy raiser.  Previously, I was away from home for 9 hours each day.  My 17 year old daughter stays at home with me.  She has had brain tumors and has some special needs.  We will be co- raising the puppy.  My son is almost 15, he attends school each day.  He is not sold on having a puppy.  He has not had good dog experiences.  I would not be surprised if he falls in love with the puppy.  My fiancé lives in Fenwick Island, Delaware.  He is also not sold on having a puppy, cramping his style.  We go to his home most weekends.  He is in our home most of the time also.  We are getting married in January.  We will probably need a puppy sitter.  We haven't made any wedding plans, yet.  I know this is not going to be easy.  I just feel called to do this.  At least just once.    "
39,Primary,28325,0,Dominion,6J315,Justine,20424,11/07/15,"We are a family of four, my husband Felipe and I. We are both architects, with two children Pablo and Gabriela.  Pablo is at the university, and Gabriela  is a 12 year old girl at 6th grade.    I am working most of the time seating at a computer screen.  I telework 60% for the time, going to DC always on Tuesday and Thursdays.(This is not flexible, those are the days that I have to attend work).   My husband works close by to home, so he will be coming at Lunch time on these particular days to let the dog out of the crate.  My daughter Gabriela is going to be also working with the dog training on weekends and evenings.  .   I have sleep problems, therefore is recommended for me to have a full night sleep without interruptions if I can achieve it.  So we will be looking forward when the dog can sleep all night in his crate without interruptions. My daughter or my husband will take the responsibility to take the dog out during the night.  We leave in a 1 acre property, not fenced.  So we will need to be always out with the dog on a leash"
44,Primary,28323,0,Dominion,7H315,Hilton,20411,11/01/15,"I am a stay at home mom and writer, so my schedule is fairly flexible.  I take my son to school at 8 and pick him up at 3:30.  In between I may go to an exercise class or my writing group or a volunteer activity, but I am rarely gone from the house for more than 2-3 hours at a time.  In the afternoons, evenings, and weekends we have a few activities, but again would not be gone for more than a few hours.      We have a 10 year old male Cardigan Welsh Corgi.  He gets along well with other dogs and enjoys playing when off leash.  When on leash he tends to be timid/submissive and excitable.  He gets excited around new people, particularly males, and barks at noises outside.  His herding instinct is evident as he likes to ""keep tabs"" on us all and is happiest when we are all together in one room.    Our son is 7 years old.  He is generally calm and gentle, but is also a typically active little boy.      We live in a single family home with easy access to the outdoors.  There are many walking paths in the neighborhood.  We walk our dog several times a day for exercise as we do not have a fenced area.  This is in addition to short outings/play sessions in the immediate front yard (during which the puppy would be on leash).      "
14,Primary,28322,0,Orange County,3O315,Ohana,20474,11/22/15,"I go to school at 7 and comd home at 4:30. I am usually home for the rest of the night and I get up early. My mom works from home and will be able to walk the dogs regularly. We live on a dead end road with a sizable yard. Our other dogs are not walked on leashes because they have an electric fence so they can run. We have four dogs that are 5 -12 years old, as well as a cat, parakeet, a little fish, and chickens. "
35,Primary,28321,0,Orange County,1O315,Ollie,20472,11/13/15,"My Life    Monday, Tuesday, Thursday--I leave for school at around 6:45am and come home at around 3pm. Occasionally I come home at 3:30, if I need to stay after for something. However, I will be buying or leasing a car within the next few weeks (by mid-December the latest), so once that happens I will leave at around 7:05 and then get home at 2:30, or 3 if I need to stay after school. Unless I'm doing something after school (which I usually don't), I am home for the rest of the day. When I get home, I usually have a snack and relax for like 30 minutes. After that, I do my homework, shower, and then go to sleep at like 10-11pm, unless I have a lot of homework, in which case I can be up later.     Wednesday & Friday--These days start out like Monday, Tuesday, and Thursday, except I have work after school. I start work at 4. I work at a pizzeria in Goshen, which is pretty close to where I go to school. Since I live around 5.5 miles from the center of Goshen, I have to stay in town for that period of time. I usually get a smoothie and do homework or something. I get out of work at 9 (9:30 if I have to clean up, which usually happens on Fridays because it gets very busy) and then my mother picks me up and takes me home. Sometimes, If my dad is home from work, I come home from school on the bus and drive his car in. Once I get my own car, I can go home between school and work, so I'd get home at around 2:30 and then leave for work at around 3:40ish. Once I get home from work, I take a shower and finish whatever homework I didn't finish between the time I got out of school and went to work.    Saturday--I don't have school on Saturday, so I can sleep until around 9 or 10. I do homework and stuff in the morning and then go to work from 4-9:30.     Sunday--My family goes to church from 9-10 and then we go home and eat bagels. We usually go to visit my grandparents in Rockland in the afternoon.     Note--I go to high school, so my school schedule varies depending on breaks and things of that nature.     What is Not Flexible--I need my job. I was originally working Thursday, Friday, Saturday but then switched Wednesday and Thursday so I be available for puppy classes, so I don't think I have any more scheduling issues with that. I also need to go to school so there is no way I can work that out of my schedule.    What is Flexible--I didn't put anything about when I hang out with friends and stuff like that because my social life is very flexible.     Some stuff you should know about where I live--I live on a main road and not in a development or close to an area with a lot of people/buildings/stores/etc, so I'm going to need to drive the pup around a lot in order to get him to social experiences. I would need a pup that is good in cars.     Other--I'm 17 so I am capable of bending down, walking for long periods of time, etc. No small children in the house. "
46,Primary,28319,0,Dominion,9F315,Farrow,20393,10/27/15,"I have 4 children, the oldest just started college.  The other's are in highschool.    I am currently not working, but will expect to start working again in 2016.  (i have a nice severance package) I have been part-time for the last 18 years and am hoping to find something part-time or with flexibility.  I do not plan to work far from home.  My highschool kids are driving, and have a flexible highschool schedule which allow them to come home for lunch 2-3 days a week.  My husband works fulltime, but is only 5 miles from our house and can also come home sometimes during lunch or work from home.    I usually get up early (5:00 or 6:00am ) and exercise, check emails.  then make breakfast and see kids off to school.  Then I work on the computer, run errands, take on-line classes, go to yoga etc.   The kids get home around 3:00 and go to band, soccer, track practice etc.  Sometimes I go with them.    I make dinner at 6:00, then we try to have some family TV/Movie time.    On weekends we go to outdoor shows with my son's bands, go to soccer games or other sports, bike ride, go visit my son at college.  We have a large fenced yard in a nice neighborhood with many kids and dogs.  We have not had our own dog, but we have all helped our neighbors with dog walking and pet care over the years.  We do have an elderly cat who will do his best to avoid contact with the dog, but will not like to be chased.  We can block our stairs so the cat can retreat upstairs when he needs to get away.    We started working with Veteran's Moving Forward last spring and did a weekend puppy sit for one of their dogs (4 months).  We attended several training sessions with them, but decided not to proceed with them because they required we attend training every Wednesday morning at a location 40 minutes from my home in addition to biweekly training on Sundays.  The Wednesday training did not work well with our schedule.    Also FYI - I ran a home based daycare for a couple years and we fostered kittens for FOHA  "
