dog_SubStatusCode,RaiserState,GoodAppetite,FoodType,ExerciseType,dog_Sex,dbc_DogBreedDescription,dbcc_ColorDescription
0,CT,Yes,iams naturalistic,"walking, playing with toys",F,Labrador Retriever,Black
0,OH,Yes,Hills Puppy Healthy Dev.,"walks, playing, exposures",F,Labrador Retriever,Yellow
0,MD,Yes,Wolf King,walks with some short jogging stints,M,Labrador Retriever,Yellow
0,MD,Yes,Nutro Puppy,"walks, training, actively plays with other dogs outside at home, interacts with family members with ball or tug toy",F,Labrador Retriever,Yellow
0,MD,Yes,Iams,"walking on leash, running free in fenced back yard, indoor play with balls and tug toys",F,Labrador Retriever,Yellow
0,MD,No,IAMs puppy,"group play, walks",F,Labrador Retriever,Black
0,NH,Yes,Precise,"walks, playtime in fenced yard",F,Labrador Retriever,Yellow
0,NH,Yes,NutriSource,"Walking, playing, training",F,Labrador Retriever,Yellow
0,NY,Yes,Hills,playing with toys & other dog in household; short walks,F,Labrador Retriever,Yellow
0,NY,Yes,Healthy puppy science diet,Walking and playing in yard,F,Labrador Retriever,Yellow
0,MA,Yes,Ian's smart puppy,"Walking, tugging, other dogs",F,Labrador Retriever,Black
0,CT,Yes,Science Diet Puppy,Walking and playing with other dog in home,F,Labrador Retriever,Black
0,VA,Yes,Purina ONE Chicken & Rice,walks; play in fenced yard,M,German Shepherd,Black/tan
0,NY,Yes,Science Diet Puppy Chow,"Walking, Running in yard",F,German Shepherd,Black/tan
0,MD,Yes,Purina/Kirkland -transitioning,"plays in the yard with other dog, plays with toys,plays appropriately in the house with other dog and walks",M,German Shepherd,Black/tan
0,NY,Yes,Science Diet Large Breed,Walking/ running,F,Labrador Retriever,Black
0,NY,Yes,Science Diet,"Walks, plays ball,frisbee, plays with neighbor dog",F,Labrador Retriever,Black
0,NY,Yes,Science Diet,"Walks, plays ball,frisbee, plays with neighbor dog",F,Labrador Retriever,Black
0,NY,Yes,Science Diet Large Breed Puppy,"Walks, playing in yard, at work, socializing",F,Labrador Retriever,Black
0,NY,Yes,Iams Puppy Food,"Walking, fetch with toys and occasional play dates with other GEB dogs",M,Labrador Retriever,Black/tan
0,CT,Yes,Science diet healthy development,We go to the dog park with Otto.,M,Labrador Retriever,Yellow
0,NY,Yes,Iams Vet formula,Walking,M,Labrador Retriever,Yellow
0,CT,Yes,low residue,"walks on leash, free play with my other dogs inside and outside in fence in yard",F,Labrador Retriever,Yellow
0,OH,Yes,Low Res,"Walking, playing in yard, some fetch",F,Labrador Retriever,Yellow
0,OH,Yes,Low Res,"Walking, playing in yard, some fetch",F,Labrador Retriever,Yellow
0,NY,Yes,Iams puppy,"walks, outdoor play, some indoor play",F,Labrador Retriever,Yellow
0,MD,Yes,Fromm,"Walks, dog play",F,Labrador Retriever,Yellow
0,NY,Yes,Iams Lamb and Rice,"walks, playing",M,Labrador Retriever,Black
0,VA,Yes,Iams,"walks, play",F,Labrador Retriever,Black
0,VA,Yes,IAMS puppy chow,"running & play in backyard, outings, neighborhood walks",F,Labrador Retriever,Black
0,NY,Yes,Hills Large Breed Puppy,"fetch, walks",M,Labrador Retriever,Black
0,OH,Yes,Hills Science Diet Healthy Puppy,walking;outings;fetch;tug,M,Labrador Retriever,Black
0,OH,Yes,Hills Science Diet Healthy Puppy,walking;outings;fetch;tug,M,Labrador Retriever,Black
0,OH,Yes,Science Diet,"walks, playing",F,Labrador Retriever,Black
0,OH,Yes,Science Diet,"walks, playing",F,Labrador Retriever,Black
0,VA,Yes,Science Diet Puppy Large Breed,"walks, play with toys",F,Labrador Retriever,Yellow
0,VA,Yes,Science diet,Walks/plays with other dogs,M,Labrador Retriever,Black
0,VA,Yes,Science diet,Walks/plays with other dogs,M,Labrador Retriever,Black
0,VA,Yes,Science diet,Walks/plays with other dogs,M,Labrador Retriever,Black
0,NY,Yes,Hill's Science Diet,"Walks, Limited Ball, Plays with toys",F,Labrador Retriever,Black
0,CT,Yes,Iams,"fetch, walking, playing with dogs",M,Labrador Retriever,Yellow
0,RI,Yes,Wellness large breed puppy,About 3-4 miles per day,F,Labrador Retriever,Black
0,OH,Yes,Iams Smart Puppy Large Breed,"Walking, fetching",M,Labrador Retriever,Yellow
0,OH,Yes,Iams Smart Puppy Large Breed,"Walking, fetching",M,Labrador Retriever,Yellow
0,MD,Yes,Iams Lamb and Rice,"2-3 short-medium walks, 2-3 plays with another pet dog",F,Labrador Retriever,Yellow
0,MD,Yes,Iams Lamb and Rice,"2-3 short-medium walks, 2-3 plays with another pet dog",F,Labrador Retriever,Yellow
0,MD,Yes,Iams Lamb and Rice,"2-3 short-medium walks, 2-3 plays with another pet dog",F,Labrador Retriever,Yellow
0,MD,Yes,Science Diet,"walks, runs, playtime",F,Labrador Retriever,Black
0,MD,Yes,Science Plan,"Walks, play, training",M,Labrador Retriever,Black
0,NY,Yes,Nutro puppy food,"walks, runs with other pups in fenced area, self-initiated ball play or running on long line",M,Labrador Retriever,Yellow
0,VA,Yes,Taste of the Wild; Honest Kitchen,Fetch; walks & brief runs around the block; playtime with our family dog,F,Labrador Retriever,Yellow
0,VA,Yes,Taste of the Wild; Honest Kitchen,Fetch; walks & brief runs around the block; playtime with our family dog,F,Labrador Retriever,Yellow
0,VA,Yes,Honest Kitchen and Taste of the Wild,"Runs around the block, tug of war with our family dog, fetch in the backyard, and occasional neighborhood walks.",F,Labrador Retriever,Yellow
0,VA,Yes,Honest Kitchen and Taste of the Wild,"Runs around the block, tug of war with our family dog, fetch in the backyard, and occasional neighborhood walks.",F,Labrador Retriever,Yellow
0,ME,Yes,Science Diet,"Short walks, fetch",F,Labrador Retriever,Black/tan
0,VA,Yes,transitioning to Iams Lamb and Rice Adult,"plays with toys, other dogs, and outside activitys",M,Labrador Retriever,Black/tan
0,VA,Yes,transitioning to Iams Lamb and Rice Adult,"plays with toys, other dogs, and outside activitys",M,Labrador Retriever,Black/tan
0,VA,Yes,transitioning to Iams Lamb and Rice Adult,"plays with toys, other dogs, and outside activitys",M,Labrador Retriever,Black/tan
0,OH,Yes,Iams puppy,"walks, playing in the yard",F,Labrador Retriever,Black
0,OH,Yes,Iams puppy,"walks, playing in the yard",F,Labrador Retriever,Black
0,VA,Yes,Iams,"Short walks, fetch, tug, playing with other dogs",M,Labrador Retriever,Black/tan
0,VA,Yes,Iams,"Short walks, fetch, tug, playing with other dogs",M,Labrador Retriever,Black/tan
0,NY,Yes,Hills Science Diet large breed puppy,"walks, ball chasing, playing with his brother     ng with the family dog",M,Labrador Retriever,Black
0,ME,Yes,Science Diet Puppy,"Walking, playing in yard",F,Labrador Retriever,Yellow
0,ME,Yes,Science Diet Puppy,"Walking, playing in yard",F,Labrador Retriever,Yellow
0,Me,Yes,Blue Seal Puppy,walking and ball,F,Labrador Retriever,Black
0,MD,Yes,Science Diet- Puppy,"2 mi. walk everyday, plays with pet dog about an hour a day, short walks around school and the yard",M,Labrador Retriever,Black
0,Va,Yes,Science diet large breed puppy,"Walks,  plays in yard with family dog",M,Labrador Retriever,Yellow
0,Va,Yes,Science diet large breed puppy,"Walks,  plays in yard with family dog",M,Labrador Retriever,Yellow
0,NY,Yes,Iams Smart Puppy,"Working, Walks, Large play yard w/ ""sister"" Ginko.",F,Labrador Retriever,Black
0,MD,Yes,Iams Puppy,"walks, fetch in the yard",M,Labrador Retriever,Yellow
0,OH,Yes,Hills Science Diet,"walking, and running in the yard",F,Labrador Retriever,Yellow
0,OH,Yes,Hills Science Diet,"walking, and running in the yard",F,Labrador Retriever,Yellow
0,VA,Yes,Iams,"Lots of Fetch, Playing with other dogs, walks",M,Labrador Retriever,Black
0,VA,Yes,Iams,"Lots of Fetch, Playing with other dogs, walks",M,Labrador Retriever,Black
0,MD,Yes,Iams,"Walks, runs with dogs or on long line",F,Labrador Retriever,Black
0,NY,Yes,Iams,"Playing in yard, walking",F,Labrador Retriever,Black
0,MA,Yes,Iams,"walks, playing in the year, tug, playing wiht our dog",F,Labrador Retriever,Yellow
0,MA,Yes,Iams,"walks, playing in the year, tug, playing wiht our dog",F,Labrador Retriever,Yellow
0,MA,Yes,Iams,"walks, playing in the year, tug, playing wiht our dog",F,Labrador Retriever,Yellow
0,MD,Yes,science diet,"running in fenced in yard, walks, playing with cousin pups",M,Labrador Retriever,Yellow
0,MD,Yes,Iams,"walks, runs in yard with other dog, swimming",F,Labrador Retriever,Yellow
0,VA,Yes,Blue Buffalo puppy chow,"walking, playing with family dogs",F,Labrador Retriever,Yellow
0,MD,Yes,Science Diet Puppy Large breed,Walking and running/playing off leash in fenced yard.,M,Labrador Retriever,Yellow
0,VA,Yes,Science Diet puppy,"short walks, play with other pet; tug and fetch",M,Labrador Retriever,Yellow
0,VA,Yes,Science Diet puppy,"short walks, play with other pet; tug and fetch",M,Labrador Retriever,Yellow
0,CT,Yes,IAMs Smart Puppy,Runs around the house and yard (supervised),F,Labrador Retriever,Yellow
0,ct,Yes,hills,daily walk,M,Labrador Retriever,Yellow
0,ct,Yes,hills,daily walk,M,Labrador Retriever,Yellow
0,NY,Yes,IAMS Lamb & Rice,Walk,F,Labrador Retriever,Yellow
0,CT,Yes,Science Diet/Blue Buffalo,"walking, a few min of running when he initiates it, stair climbing",M,Labrador Retriever,Black
0,CT,Yes,IMAS,"running, active play throughout day",M,Labrador Retriever,Black
0,CT,Yes,Iams Puppy,Walking/ball chasing,M,Labrador Retriever,Black
0,CT,Yes,Iams Puppy,Walking/ball chasing,M,Labrador Retriever,Black
0,VA,Yes,iams,"walks, romps with other dogs",F,Labrador Retriever,Yellow
0,VA,Yes,iams,"walks, romps with other dogs",F,Labrador Retriever,Yellow
0,CT,Yes,Iams smart puppy,training,M,Labrador Retriever,Yellow
0,NY,Yes,Iams Chicken and Rice,"Walking, playing",F,Labrador Retriever,Black
0,NY,Yes,Iams Chicken and Rice,"Walking, playing",F,Labrador Retriever,Black
0,VA,Yes,Hill's Large Breed Puppy,Walking,F,Labrador Retriever,Black
0,NY,Yes,Iams,"walking, fetch, appropriate play",F,Labrador Retriever,Black
0,NY,Yes,Iams,"walking, fetch, appropriate play",F,Labrador Retriever,Black
0,NY,Yes,Canidea Lamb Grain Free,walks/play with other dogs,F,Labrador Retriever,Black
