dog_SubStatusCode,Health,EnergyLevel,RespondsToCommandKennel,GoodWStrangers,StaysOnCommand,BehavesWellClass,NailCutting,Breed,Sex,GoodAppetite,FoodType,ExerciseType
0,3,4,3,4,5,3,3,Labrador Retriever,F,Yes,iams naturalistic,"walking, playing with toys"
0,3,4,3,4,5,3,3,Labrador Retriever,F,Yes,iams naturalistic,"walking, playing with toys"
0,5,5,4,5,3,5,5,Labrador Retriever,M,Yes,Wolf King,walks with some short jogging stints
0,5,5,4,5,1,3,1,Labrador Retriever,F,Yes,Iams,"walking on leash, running free in fenced back yard, indoor play with balls and tug toys"
0,5,5,4,5,3,4,3,Labrador Retriever,F,Yes,Ian's smart puppy,"Walking, tugging, other dogs"
0,4,5,4,4,3,4,3,Labrador Retriever,F,Yes,Science Diet Puppy,Walking and playing with other dog in home
0,4,5,5,5,4,4,3,Labrador Retriever,M,Yes,Science diet healthy development,We go to the dog park with Otto.
0,3,5,5,5,2,5,5,Labrador Retriever,F,Yes,low residue,"walks on leash, free play with my other dogs inside and outside in fence in yard"
0,5,4,3,5,4,3,4,Labrador Retriever,M,Yes,Iams,"fetch, walking, playing with dogs"
0,4,4,2,5,4,2,3,Labrador Retriever,M,Yes,Iams,"Lots of Fetch, Playing with other dogs, walks"
0,4,4,2,5,4,2,3,Labrador Retriever,M,Yes,Iams,"Lots of Fetch, Playing with other dogs, walks"
0,4,4,5,5,1,1,3,Labrador Retriever,F,Yes,Iams,"Walks, runs with dogs or on long line"
0,3,1,2,1,3,1,3,Labrador Retriever,M,Yes,science diet,"running in fenced in yard, walks, playing with cousin pups"
0,4,4,4,4,4,2,1,Labrador Retriever,M,Yes,Science Diet Puppy Large breed,Walking and running/playing off leash in fenced yard.
0,5,5,2,5,1,5,5,Labrador Retriever,F,Yes,IAMs Smart Puppy,Runs around the house and yard (supervised)
0,5,5,4,5,5,4,5,Labrador Retriever,M,Yes,Science Diet/Blue Buffalo,"walking, a few min of running when he initiates it, stair climbing"
0,3,5,4,5,4,4,4,Labrador Retriever,M,Yes,IMAS,"running, active play throughout day"
0,3,5,4,5,4,4,4,Labrador Retriever,M,Yes,IMAS,"running, active play throughout day"
0,5,5,4,5,3,4,5,Labrador Retriever,M,Yes,Iams Puppy,Walking/ball chasing
0,5,5,4,5,3,4,5,Labrador Retriever,M,Yes,Iams Puppy,Walking/ball chasing
0,5,5,4,5,3,4,5,Labrador Retriever,M,Yes,Iams Puppy,Walking/ball chasing
0,5,5,4,5,3,4,5,Labrador Retriever,M,Yes,Iams Puppy,Walking/ball chasing
0,5,5,5,5,4,4,4,Labrador Retriever,F,Yes,Canidea Lamb Grain Free,walks/play with other dogs
0,5,5,5,5,4,4,4,Labrador Retriever,F,Yes,Canidea Lamb Grain Free,walks/play with other dogs
0,4,4,3,4,3,4,4,Labrador Retriever,F,No,Hills Science Diet adult,"walks/runs on long line in open fields and woods, retrieving in yard, playing with problem solving toys"
0,5,4,3,5,1,5,3,Labrador Retriever,M,Yes,For Health - puppy,"Walk, fetch, run, play"
0,5,5,5,4,4,3,4,Labrador Retriever,M,Yes,Science Diet,"daily walks, plays in back yard"
0,5,5,5,5,4,4,4,German Shepherd,F,Yes,Science Diet Large Puppy,walking and playing with Jasmine
0,2,3,4,1,3,3,4,Labrador Retriever,F,Yes,None. Still on bland diet.,Walking
0,5,5,5,5,5,1,1,Labrador Retriever,F,Yes,Iams Puppy,Walk/Follow Me
